year,state,state_po,district,party,candidatevotes,totalvotes
2016,New Mexico,NM,1,republican,96879,277967
2016,New Mexico,NM,1,democrat,181088,277967
2016,New Mexico,NM,2,democrat,85232,228817
2016,New Mexico,NM,2,republican,143515,228817
2016,New Mexico,NM,3,republican,102730,273342
2016,New Mexico,NM,3,democrat,170612,273342
2016,New York,NY,1,republican,158409,341554
2016,New York,NY,1,democrat,126635,341554
2016,New York,NY,2,democrat,102270,317552
2016,New York,NY,2,republican,157571,317552
2016,New York,NY,3,democrat,171775,350966
2016,New York,NY,3,republican,133954,350966
2016,New York,NY,4,republican,111246,343179
2016,New York,NY,4,democrat,181861,343179
2016,New York,NY,5,republican,26791,249236
2016,New York,NY,5,democrat,197852,249236
2016,New York,NY,6,republican,43770,210378
2016,New York,NY,6,democrat,131463,210378
2016,New York,NY,7,republican,14941,206983
2016,New York,NY,7,democrat,165819,206983
2016,New York,NY,8,democrat,203235,257602
2016,New York,NY,9,democrat,198886,256853
2016,New York,NY,10,republican,46275,266516
2016,New York,NY,10,democrat,180117,266516
2016,New York,NY,11,democrat,85257,251718
2016,New York,NY,11,republican,122606,251718
2016,New York,NY,12,democrat,230153,312289
2016,New York,NY,12,republican,49398,312289
2016,New York,NY,13,democrat,207194,255239
2016,New York,NY,13,republican,13129,255239
2016,New York,NY,14,democrat,138367,197301
2016,New York,NY,14,republican,26891,197301
2016,New York,NY,15,democrat,165688,193703
2016,New York,NY,15,republican,6129,193703
2016,New York,NY,16,democrat,198811,287556
2016,New York,NY,17,democrat,193819,325571
2016,New York,NY,18,democrat,140951,319123
2016,New York,NY,18,republican,111117,319123
2016,New York,NY,19,democrat,125956,326588
2016,New York,NY,19,republican,135905,326588
2016,New York,NY,20,democrat,188428,332499
2016,New York,NY,20,republican,83328,332499
2016,New York,NY,21,republican,152597,288611
2016,New York,NY,21,democrat,75965,288611
2016,New York,NY,22,republican,113287,296086
2016,New York,NY,22,democrat,102734,296086
2016,New York,NY,23,democrat,106600,296198
2016,New York,NY,23,republican,136964,296198
2016,New York,NY,24,republican,150330,315429
2016,New York,NY,24,democrat,110550,315429
2016,New York,NY,25,democrat,168660,336386
2016,New York,NY,25,republican,113840,336386
2016,New York,NY,26,republican,56930,310819
2016,New York,NY,26,democrat,195322,310819
2016,New York,NY,27,republican,175509,354426
2016,New York,NY,27,democrat,107832,354426
2016,North Carolina,NC,1,democrat,240661,350699
2016,North Carolina,NC,1,republican,101567,350699
2016,North Carolina,NC,2,democrat,169082,390567
2016,North Carolina,NC,2,republican,221485,390567
2016,North Carolina,NC,3,republican,217531,323701
2016,North Carolina,NC,3,democrat,106170,323701
2016,North Carolina,NC,4,democrat,279380,409541
2016,North Carolina,NC,4,republican,130161,409541
2016,North Carolina,NC,5,republican,207625,355512
2016,North Carolina,NC,5,democrat,147887,355512
2016,North Carolina,NC,6,republican,207983,351150
2016,North Carolina,NC,6,democrat,143167,351150
2016,North Carolina,NC,7,democrat,135905,347706
2016,North Carolina,NC,7,republican,211801,347706
2016,North Carolina,NC,8,republican,189863,323045
2016,North Carolina,NC,8,democrat,133182,323045
2016,North Carolina,NC,9,democrat,139041,332493
2016,North Carolina,NC,9,republican,193452,332493
2016,North Carolina,NC,10,democrat,128919,349744
2016,North Carolina,NC,10,republican,220825,349744
2016,North Carolina,NC,11,republican,230405,359508
2016,North Carolina,NC,11,democrat,129103,359508
2016,North Carolina,NC,12,democrat,234115,349300
2016,North Carolina,NC,12,republican,115185,349300
2016,North Carolina,NC,13,republican,199443,355492
2016,North Carolina,NC,13,democrat,156049,355492
2016,North Dakota,ND,0,democrat,80377,338459
2016,North Dakota,ND,0,republican,233980,338459
2016,Ohio,OH,1,republican,210014,354788
2016,Ohio,OH,1,democrat,144644,354788
2016,Ohio,OH,2,republican,221193,340279
2016,Ohio,OH,2,democrat,111694,340279
2016,Ohio,OH,3,democrat,199791,291351
2016,Ohio,OH,3,republican,91560,291351
2016,Ohio,OH,4,republican,210227,309208
2016,Ohio,OH,4,democrat,98981,309208
2016,Ohio,OH,5,democrat,100392,344991
2016,Ohio,OH,5,republican,244599,344991
2016,Ohio,OH,6,democrat,88780,302755
2016,Ohio,OH,6,republican,213975,302755
2016,Ohio,OH,7,democrat,89638,309553
2016,Ohio,OH,7,republican,198221,309553
2016,Ohio,OH,8,republican,223833,325506
2016,Ohio,OH,8,democrat,87794,325506
2016,Ohio,OH,9,democrat,193966,282398
2016,Ohio,OH,9,republican,88427,282398
2016,Ohio,OH,10,republican,215724,336602
2016,Ohio,OH,10,democrat,109981,336602
2016,Ohio,OH,11,republican,59769,302686
2016,Ohio,OH,11,democrat,242917,302686
2016,Ohio,OH,12,republican,251266,377534
2016,Ohio,OH,12,democrat,112638,377534
2016,Ohio,OH,13,democrat,208610,308004
2016,Ohio,OH,13,republican,99377,308004
2016,Ohio,OH,14,republican,219191,350269
2016,Ohio,OH,14,democrat,130907,350269
2016,Ohio,OH,15,democrat,113960,336807
2016,Ohio,OH,15,republican,222847,336807
2016,Ohio,OH,16,democrat,119830,345624
2016,Ohio,OH,16,republican,225794,345624
2016,Oklahoma,OK,1,republican,1,1
2016,Oklahoma,OK,2,democrat,62387,268870
2016,Oklahoma,OK,2,republican,189839,268870
2016,Oklahoma,OK,3,democrat,63090,290615
2016,Oklahoma,OK,3,republican,227525,290615
2016,Oklahoma,OK,4,republican,204143,293189
2016,Oklahoma,OK,4,democrat,76472,293189
2016,Oklahoma,OK,5,republican,160184,280570
2016,Oklahoma,OK,5,democrat,103273,280570
2016,Oregon,OR,1,democrat,225391,378095
2016,Oregon,OR,1,republican,139756,378095
2016,Oregon,OR,2,republican,272952,380739
2016,Oregon,OR,2,democrat,106640,380739
2016,Oregon,OR,3,democrat,274687,382355
