2016,GA,12,D,99420,258912
2018,GA,12,R,148986,250492
2018,GA,12,D,101503,250492
2016,GA,13,D,252833,252833
2018,GA,13,D,223157,293010
2018,GA,13,R,69760,293010
2016,GA,14,R,216743,216743
2018,GA,14,R,175743,229724
2018,GA,14,D,53981,229724
2016,HI,1,D,145417,202357
2016,HI,1,R,45958,202357
2018,HI,1,D,134650,184211
2018,HI,1,R,42498,184211
2016,HI,2,D,170848,210516
2016,HI,2,R,39668,210516
2018,HI,2,D,153271,198121
2018,HI,2,R,44850,198121
2016,ID,1,R,242252,355357
2016,ID,1,D,113052,355357
2018,ID,1,R,197719,315069
2018,ID,1,D,96922,315069
2016,ID,2,R,205292,326237
2016,ID,2,D,95940,326237
2018,ID,2,R,170274,280655
2018,ID,2,D,110381,280655
2016,IL,1,D,234037,315862
2016,IL,1,R,81817,315862
2018,IL,1,D,189560,257885
2018,IL,1,R,50960,257885
2016,IL,2,D,235051,294522
2016,IL,2,R,59471,294522
2018,IL,2,D,183816,227691
2018,IL,2,R,43875,227691
2016,IL,3,D,225320,225411
2018,IL,3,D,163053,223334
2018,IL,3,R,57885,223334
2016,IL,4,D,171297,171297
2018,IL,4,D,143895,166189
2018,IL,4,R,22294,166189
2016,IL,5,D,212842,313724
2016,IL,5,R,86222,313724
2018,IL,5,D,213992,279131
2018,IL,5,R,65134,279131
2016,IL,6,R,208555,352146
2016,IL,6,D,143591,352146
2018,IL,6,D,169001,315446
2018,IL,6,R,146445,315446
2016,IL,7,D,250584,297466
2016,IL,7,R,46882,297466
2018,IL,7,D,215746,246243
2018,IL,7,R,30497,246243
2016,IL,8,D,144954,248576
2016,IL,8,R,103617,248576
2018,IL,8,D,130054,197127
2018,IL,8,R,67073,197127
2016,IL,9,D,217306,326948
2016,IL,9,R,109550,326948
2018,IL,9,D,213368,290351
2018,IL,9,R,76983,290351
2016,IL,10,D,150435,285996
2016,IL,10,R,135535,285996
2018,IL,10,D,151860,232221
2018,IL,10,R,80361,232221
2016,IL,11,D,166578,275573
2016,IL,11,R,108995,275573
2018,IL,11,D,145407,227765
2018,IL,11,R,82358,227765
2016,IL,12,R,169976,313002
2016,IL,12,D,124246,313002
2018,IL,12,R,134884,261543
2018,IL,12,D,118724,261543
2016,IL,13,R,187583,314394
2016,IL,13,D,126811,314394
2018,IL,13,R,136516,270981
2018,IL,13,D,134458,270981
2016,IL,14,R,200508,338097
2016,IL,14,D,137589,338097
2018,IL,14,D,156035,297199
2018,IL,14,R,141164,297199
2016,IL,15,R,274554,274554
2018,IL,15,R,181294,255608
2018,IL,15,D,74309,255608
2016,IL,16,R,259722,259853
2018,IL,16,R,151254,255825
2018,IL,16,D,104569,255825
2016,IL,17,D,173125,287068
2016,IL,17,R,113943,287068
2018,IL,17,D,142659,229749
2018,IL,17,R,87090,229749
2016,IL,18,R,250506,347283
2016,IL,18,D,96770,347283
2018,IL,18,R,195927,291413
2018,IL,18,D,95486,291413
2016,IN,1,D,207515,254583
2018,IN,1,D,159611,245209
2018,IN,1,R,85594,245209
2016,IN,2,R,164355,277357
2016,IN,2,D,102401,277357
2018,IN,2,R,125499,228889
2018,IN,2,D,103363,228889
2016,IN,3,R,201396,287247
2016,IN,3,D,66023,287247
2018,IN,3,R,158927,245537
2018,IN,3,D,86610,245537
2016,IN,4,R,193412,299434
2016,IN,4,D,91256,299434
2018,IN,4,R,156539,244363
2018,IN,4,D,87824,244363
2016,IN,5,R,221957,361135
2016,IN,5,D,123849,361135
2018,IN,5,R,180035,317177
2018,IN,5,D,137142,317177
2016,IN,6,R,204920,296385
2016,IN,6,D,79135,296385
2018,IN,6,R,154260,241726
2018,IN,6,D,79430,241726
2016,IN,7,D,158739,264670
2016,IN,7,R,94456,264670
2018,IN,7,D,141139,217596
2018,IN,7,R,76457,217596
2016,IN,8,R,187702,294713
2016,IN,8,D,93356,294713
2018,IN,8,R,157396,244291
2018,IN,8,D,86895,244291
2016,IN,9,R,174791,322843
2016,IN,9,D,130627,322843
2018,IN,9,R,153271,271361
2018,IN,9,D,118090,271361
2016,IA,1,R,206903,384977
2016,IA,1,D,177403,384977
2018,IA,1,D,170342,334243
2018,IA,1,R,153442,334243
2016,IA,2,D,198571,370032
2016,IA,2,R,170933,370032
2018,IA,2,D,171446,312913
2018,IA,2,R,133287,312913
2016,IA,3,R,208598,390287
2016,IA,3,D,155002,390287
2018,IA,3,D,175642,356241
2018,IA,3,R,167933,356241
2016,IA,4,R,226719,370259
2016,IA,4,D,142993,370259
2018,IA,4,R,157676,313251
2018,IA,4,D,147246,313251
2016,KS,1,R,169992,257971
2018,KS,1,R,153082,224640
2018,KS,1,D,71558,224640
2016,KS,2,R,181228,297401
2016,KS,2,D,96840,297401
2018,KS,2,R,126098,264688
2018,KS,2,D,123859,264688
2016,KS,3,R,176022,343113
2016,KS,3,D,139300,343113
2018,KS,3,D,170518,318301
2018,KS,3,R,139762,318301
2016,KS,4,R,166998,275251
2016,KS,4,D,81495,275251
2018,KS,4,R,144248,242693
2018,KS,4,D,98445,242693
2016,KY,1,R,216959,299001
2016,KY,1,D,81710,299001
2018,KY,1,R,172167,251016
2018,KY,1,D,78849,251016
2016,KY,2,R,251825,251825
2018,KY,2,R,171700,257345
2018,KY,2,D,79964,257345
2016,KY,3,D,212401,334494
2016,KY,3,R,122093,334494
2018,KY,3,D,173002,278720
2018,KY,3,R,101930,278720
2016,KY,4,R,233922,327987
2016,KY,4,D,94065,327987
2018,KY,4,R,162946,261812
2018,KY,4,D,90536,261812
2016,KY,5,R,221242,221242
2018,KY,5,R,172093,218017
2018,KY,5,D,45890,218017
2016,KY,6,R,202099,330827
2016,KY,6,D,128728,330827
2018,KY,6,R,154468,302888
2018,KY,6,D,144736,302888
# TODO: Louisiana
2016,ME,1,D,227546,392391
2016,ME,1,R,164569,392391
2018,ME,1,D,201195,342053
2018,ME,1,R,111188,342053
2016,ME,2,R,192878,352183
2016,ME,2,D,159081,352183
2018,ME,2,D,142440,281371
2018,ME,2,R,138931,281371
2016,MD,1,R,242574,362097
2016,MD,1,D,103622,362097
2018,MD,1,R,183662,306186
2018,MD,1,D,116631,306186
2016,MD,2,D,192183,309480
2016,MD,2,R,102577,309480
2018,MD,2,D,167201,253302
2018,MD,2,R,77782,253302
2016,MD,3,D,214640,339675
2016,MD,3,R,115048,339675
2018,MD,3,D,202407,292880
2018,MD,3,R,82774,292880
2016,MD,4,D,237501,320650
2016,MD,4,R,68670,320650
2018,MD,4,D,209642,268583
2018,MD,4,R,53327,268583
2016,MD,5,D,242989,360634
2016,MD,5,R,105931,360634
2018,MD,5,D,213796,304209
2018,MD,5,R,82361,304209
2016,MD,6,D,185770,331973
2016,MD,6,R,133081,331973
2018,MD,6,D,163346,277084
2018,MD,6,R,105209,277084
2016,MD,7,D,238838,318912
2016,MD,7,R,69556,318912
2018,MD,7,D,202345,264710
2018,MD,7,R,56266,264710
2016,MD,8,D,220657,364324
2016,MD,8,R,124651,364324
2018,MD,8,D,217679,319330
2018,MD,8,R,96525,319330
2016,MA,1,D,235803,321539
2018,MA,1,D,211790,216900
2016,MA,2,D,275487,280411
2018,MA,2,D,191332,284893
2018,MA,2,R,93391,284893
2016,MA,3,D,236713,344592
2016,MA,3,R,107519,344592
2018,MA,3,D,173175,279327
2018,MA,3,R,93445,279327
2016,MA,4,D,265823,379213
2016,MA,4,R,113055,379213
2018,MA,4,D,245289,251016
2016,MA,5,D,285606,289807
2018,MA,5,D,236243,311324
2018,MA,5,R,74856,311324
2016,MA,6,D,308923,314055
2018,MA,6,D,217703,333975
2018,MA,6,R,104798,333975
2016,MA,7,D,253354,256911
2018,MA,7,D,216559,220411
2016,MA,8,D,271019,374265
2016,MA,8,R,102744,374265
2018,MA,8,D,259159,263307
2016,MA,9,D,211790,379895
2016,MA,9,R,127803,379895
2018,MA,9,D,192347,323928
2018,MA,9,R,131463,323928
2016,MI,1,R,197777,360271
2016,MI,1,D,144334,360271
2018,MI,1,R,187251,332497
2018,MI,1,D,145246,332497
2016,MI,2,R,212508,339328
2016,MI,2,D,110391,339328
2018,MI,2,R,168970,305463
2018,MI,2,D,131254,305463
2016,MI,3,R,203545,342365
2016,MI,3,D,128400,342365
2018,MI,3,R,169107,310740
2018,MI,3,D,134185,310740
2016,MI,4,R,194572,315751
2016,MI,4,D,101277,315751
2018,MI,4,R,178510,285050
2018,MI,4,D,106540,285050
2016,MI,5,D,195279,319291
2016,MI,5,R,112102,319291
2018,MI,5,D,164502,276413
2018,MI,5,R,99265,276413
2016,MI,6,R,193259,329565
2016,MI,6,D,119980,329565
2018,MI,6,R,147436,293438
2018,MI,6,D,134082,293438
2016,MI,7,R,184321,334807
2016,MI,7,D,134010,334807
2018,MI,7,R,158730,295060
2018,MI,7,D,136330,295060
2016,MI,8,R,205629,366968
2016,MI,8,D,143791,366968
2018,MI,8,D,172880,341593
2018,MI,8,R,159782,341593
2016,MI,9,D,199661,344775
2016,MI,9,R,128937,344775
2018,MI,9,D,181734,304563
2018,MI,9,R,112123,304563
2016,MI,10,R,215132,340983
2016,MI,10,D,110112,340983
2018,MI,10,R,182808,303064
2018,MI,10,D,106061,303064
2016,MI,11,R,200872,379488
2016,MI,11,D,152461,379488
2018,MI,11,D,181912,350901
2018,MI,11,R,158463,350901
2016,MI,12,D,211378,328542
2016,MI,12,R,96104,328542
2018,MI,12,D,200588,294628
2018,MI,12,R,85115,294628
2016,MI,13,D,198771,257797
2016,MI,13,R,40541,257797
2018,MI,13,D,165355,196299
2016,MI,14,D,244135,310974
2016,MI,14,R,58103,310974
2018,MI,14,D,214334,264994
2018,MI,14,R,45899,264994
2016,MN,1,D,169074,335877
2016,MN,1,R,166526,335877
2018,MN,1,R,146200,291661
2018,MN,1,D,144885,291661
2016,MN,2,R,173970,370514
2016,MN,2,D,167315,370514
2018,MN,2,D,177958,337968
2018,MN,2,R,159344,337968
2016,MN,3,R,223077,393464
2016,MN,3,D,169243,393464
2018,MN,3,D,202404,363949
2018,MN,3,R,160839,363949
2016,MN,4,D,203299,351944
2016,MN,4,R,121032,351944
2018,MN,4,D,216865,328614
2018,MN,4,R,97747,328614
2016,MN,5,D,249964,361882
2016,MN,5,R,80660,361882
2018,MN,5,D,267703,343358
2018,MN,5,R,74440,343358
2016,MN,6,R,235380,358924
2016,MN,6,D,123008,358924
2018,MN,6,R,192931,315726
2018,MN,6,D,122332,315726
2016,MN,7,D,173589,330848
2016,MN,7,R,156952,330848
2018,MN,7,D,146672,281509
2018,MN,7,R,134668,281509
2016,MN,8,D,179098,356979
2016,MN,8,R,177089,356979
2018,MN,8,R,159364,314211
2018,MN,8,D,141950,314211
2016,MS,1,R,206455,300423
2016,MS,1,D,83947,300423
2018,MS,1,R,158245,236521
2018,MS,1,D,76601,236521
2016,MS,2,D,192343,286626
2016,MS,2,R,83542,286626
2018,MS,2,D,158921,221379
2016,MS,3,R,209490,316445
2016,MS,3,D,96101,316445
2018,MS,3,R,160284,257271
2018,MS,3,D,94461,257271
2016,MS,4,R,181323,278779
2016,MS,4,D,77505,278779
2018,MS,4,R,152633,223732
2018,MS,4,D,68787,223732
2016,MO,1,D,236993,314024
2016,MO,1,R,62714,314024
2018,MO,1,D,219781,274375
2018,MO,1,R,45867,274375
2016,MO,2,R,241954,413296
2016,MO,2,D,155689,413296
2018,MO,2,R,192477,376066
2018,MO,2,D,177611,376066
2016,MO,3,R,249865,368333
2016,MO,3,D,102891,368333
2018,MO,3,R,211243,324608
2018,MO,3,D,106589,324608
2016,MO,4,R,225348,332234
2016,MO,4,D,92510,332234
2018,MO,4,R,190138,293316
2018,MO,4,D,95968,293316
2016,MO,5,D,190766,324270
2016,MO,5,R,123771,324270
2018,MO,5,D,175019,283785
2018,MO,5,R,101069,283785
2016,MO,6,R,238388,350444
2016,MO,6,D,99692,350444
2018,MO,6,R,199796,305409
2018,MO,6,D,97660,305409
2016,MO,7,R,228692,338607
2016,MO,7,D,92756,338607
2018,MO,7,R,196343,296455
2018,MO,7,D,89190,296455
2016,MO,8,R,229792,308871
2016,MO,8,D,70009,308871
2018,MO,8,R,194042,264399
2018,MO,8,D,66151,264399
2016,MT,0,R,285358,507831
2016,MT,0,D,205919,507831
2018,MT,0,R,256661,504421
2018,MT,0,D,233284,504421
2016,NE,1,R,189771,273238
2016,NE,1,D,83467,273238
2018,NE,1,R,141712,234781
2018,NE,1,D,93069,234781
2016,NE,2,R,141066,288308
2016,NE,2,D,137602,288308
2018,NE,2,R,126715,248485
2018,NE,2,D,121770,248485
2016,NE,3,R,226720,226720
2018,NE,3,R,163650,213304
2018,NE,3,D,49654,213304
